Frequency,Inductance,Permeability
3937.7081406037037,0.16336281798666927,paramagnetique
2878.156446247356,0.3057816849494066,paramagnetique
629.5040958555232,6.392093852504033,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
25428.523805724173,0.003917400418614153,diamagnetique
1116.6188568113016,2.0315632493213998,ferromagnetique
478.23912333231584,11.07516130145522,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
3201.4728353736546,0.24713862208239706,paramagnetique
31634.057239085807,0.0025312233672546477,diamagnetique
530.9604573630811,8.984954989266809,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
27136.949737185238,0.003439681279686458,diamagnetique
393.16640723586136,16.386547281124365,ferromagnetique
25379.639802867627,0.003932505647699206,diamagnetique
24590.97945634721,0.004188790204786391,Non permeable
25171.38251878536,0.003997846584904928,diamagnetique
24590.97945634721,0.004188790204786391,Non permeable
4217.318184032048,0.1424188669627373,paramagnetique
415.4853912822528,14.673332087366727,ferromagnetique
6147.744864086802,0.06702064327658226,paramagnetique
713.456676902607,4.976282763286234,ferromagnetique
27297.285313125558,0.0033993927604982106,diamagnetique
426.71841891368575,13.910972270095607,ferromagnetique
3477.6896659204376,0.20943951023931962,paramagnetique
4918.195891269442,0.10471975511965981,paramagnetique
390.57910335735767,16.604364371773258,ferromagnetique
3148.552284084639,0.2555162024919699,paramagnetique
31099.033724681754,0.002619066180642572,diamagnetique
24590.97945634721,0.004188790204786391,Non permeable
2606.6386091007994,0.3728023282259888,paramagnetique
350.8346219235761,20.57952627611554,ferromagnetique
27859.849666144,0.0032634933048623326,diamagnetique
24737.56026596203,0.004139296466889254,diamagnetique
3477.6896659204376,0.20943951023931962,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
2577.835088422898,0.3811799086355616,paramagnetique
24648.619887956298,0.004169222263847285,diamagnetique
10997.420339538636,0.02094395102393196,paramagnetique
27825.306115281204,0.0032716012208806864,diamagnetique
27579.684521514268,0.003330133738473633,diamagnetique
27295.92275112943,0.0033997321517717817,diamagnetique
25759.25824907769,0.0038174517538047898,diamagnetique
355.01418421324956,20.097815402565107,ferromagnetique
3707.2296401837048,0.18430676901060122,paramagnetique
509.44565961002115,9.759881177152291,ferromagnetique
3286.107854673134,0.23457225146803795,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
2592.116832548878,0.37699111843077526,paramagnetique
29425.63117959552,0.002925423116429634,diamagnetique
28021.515084714152,0.0032259455793319097,diamagnetique
28191.61301469,0.003187134656629121,diamagnetique
28212.067853576864,0.0031825147405865864,diamagnetique
26822.9766509204,0.003520678111202293,diamagnetique
2536.3658677590024,0.3937462792499208,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
1730.2152767998946,0.8461356213668508,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
604.2903524681202,6.936636579126264,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
3937.7081406037037,0.16336281798666927,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
2148.52385082788,0.5487315168270173,ferromagnetique
30453.418916015416,0.0027312921086601063,diamagnetique
3794.4705089633558,0.17592918860102846,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
526.4394829017655,9.139940226843908,ferromagnetique
5019.612661942861,0.1005309649148734,paramagnetique
608.5310385477385,6.840294404416178,ferromagnetique
30222.69792438681,0.002773152817462856,diamagnetique
30283.197183627246,0.0027620835698877666,diamagnetique
25760.449710616514,0.0038170986356094194,diamagnetique
24732.419005433436,0.004141017561251712,diamagnetique
583.0259066026217,7.451857774314991,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
27586.145139111908,0.0033285741003891197,diamagnetique
31587.635193222348,0.0025386687432998253,diamagnetique
24590.97945634721,0.004188790204786391,Non permeable
2802.402194552442,0.3225368457685521,paramagnetique
3477.6896659204376,0.20943951023931962,paramagnetique
372.0358614713878,18.300824404711747,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
25512.651864129166,0.0038916077315258256,diamagnetique
431.08911066565855,13.63032332637492,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
752.471751322209,4.473627938711866,ferromagnetique
1100.8434283550434,2.0902063121884096,ferromagnetique
4217.318184032048,0.1424188669627373,paramagnetique
3315.8469934611403,0.23038346126325152,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
1017.5819702286401,2.446253479595253,ferromagnetique
2509.8063309714307,0.4021238596594936,paramagnetique
573.2801645595638,7.707373976806959,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
10039.225323885723,0.02513274122871835,paramagnetique
371.69571432692624,18.334334726350033,ferromagnetique
3512.997065192458,0.20525072003453318,paramagnetique
24590.97945634721,0.004188790204786391,Non permeable
3512.997065192458,0.20525072003453318,paramagnetique
363.8021388016421,19.138582445669023,ferromagnetique
402.6981507899377,15.619998673648453,ferromagnetique
25419.53006739996,0.003920172956654826,diamagnetique
2484.0640470860276,0.41050144006906636,paramagnetique
1242.0320235430138,1.6420057602762654,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
24590.97945634721,0.004188790204786391,Non permeable
588.3413524542722,7.317816487761825,ferromagnetique
807.2384482349178,3.887197310041772,ferromagnetique
24590.97945634721,0.004188790204786391,Non permeable
1549.0860984998342,1.0555751316061708,ferromagnetique
24677.090271043286,0.004159607606610089,diamagnetique
1098.6439387884081,2.0985838925979823,ferromagnetique
28916.924903981017,0.0030292565037764395,diamagnetique
